NPI_1,ZIP1,Lat1,Long1,City1,State1,Influence score_1,NPI_2,ZIP2,Lat2,Long2,City2,State2,Influence score_2,PM_ID Score,Panel Score,Trial Score,Affiliation Score,Events Score,Overall Connection Strength,No. of Connections
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1518353077,28204,35.2125,-80.8294,Charlotte,North Carolina,1.54,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1790769966,85054,33.6708,-111.9499,Phoenix,Arizona,3.38,0,0,0.79,0,0,0.79,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1407891807,77030,29.6872,-95.4219,Houston,Texas,3.38,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1467527903,10032,40.8305,-73.9496,New York,New York,6.42,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1447442215,49525,43.021,-85.5914,Grand Rapids,Michigan,3.85,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1992810618,98195,47.6483,-122.3141,Seattle,Washington,2.31,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1548352404,32224,30.2687,-81.4695,Jacksonville,Florida,1.92,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1508944778,60611,41.8858,-87.6269,Chicago,Illinois,2.85,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1841408812,90048,34.0703,-118.3755,Los Angeles,California,4.38,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1528137148,22903,38.0053,-78.6002,Charlottesville,Virginia,7.71,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1508824459,18018,40.6275,-75.3954,Bethlehem,Pennsylvania,2.76,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1619920469,37830,35.9753,-84.2762,Oak Ridge,Tennessee,6.53,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1801964333,48322,42.5421,-83.3813,West Bloomfield,Michigan,4.06,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1396886362,23219,37.5376,-77.4394,Richmond,Virginia,4.2,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1518092691,94080,37.6555,-122.4205,South San Francisco,California,3.18,0,0,0.79,0,0,0.79,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1346270311,19104,39.9473,-75.2091,Philadelphia,Pennsylvania,6.58,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1477636611,45267,39.1391,-84.5028,Cincinnati,Ohio,4.5,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1467427096,94143,37.7678,-122.3939,San Francisco,California,4.14,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1831480433,6519,41.2934,-72.9383,New Haven,Connecticut,2.3,0,0,0.79,0,0,0.79,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1356421754,77030,29.6957,-95.4134,Houston,Texas,3.01,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1407012776,46260,39.8975,-86.18,Indianapolis,Indiana,2.06,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1699940551,6611,41.2654,-73.2162,Trumbull,Connecticut,1.25,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1396826376,6830,41.0386,-73.6233,Greenwich,Connecticut,0.94,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1659356640,6385,41.3612,-72.1571,Waterford,Connecticut,0.82,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1700266624,6510,41.3095,-72.923,New Haven,Connecticut,0.79,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1942363304,6611,41.2704,-73.2112,Trumbull,Connecticut,1.18,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1588758718,6611,41.2704,-73.2112,Trumbull,Connecticut,1.17,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1477541274,6511,41.3175,-72.9268,New Haven,Connecticut,2.57,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1851490486,6511,41.318,-72.9263,New Haven,Connecticut,0.63,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1932236395,6520,41.3125,-72.9175,New Haven,Connecticut,2.52,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1821364019,6437,41.3323,-72.6963,Guilford,Connecticut,1.71,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1619060498,6511,41.319,-72.9253,New Haven,Connecticut,3.09,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1376579946,6437,41.3323,-72.6963,Guilford,Connecticut,0.96,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1760831408,6511,41.319,-72.9253,New Haven,Connecticut,0.98,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1679733422,6518,41.4308,-72.912,Hamden,Connecticut,0.84,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1801835756,6473,41.3825,-72.8554,North Haven,Connecticut,1.19,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1932148848,6477,41.285,-73.0246,Orange,Connecticut,0.75,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1801894555,6385,41.3627,-72.1556,Waterford,Connecticut,1.11,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1639347297,6437,41.3323,-72.6963,Guilford,Connecticut,0.81,0,0,0.5,0,0,0.5,82
1336344027,2467,42.3162,-71.161,Chestnut Hill,Massachusetts,2.61,1497729008,53713,43.0371,-89.3859,Madison,Wisconsin,0.68,0,0,0.5,0,0,0.5,82
